designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 1360300293938809088",1360300293938809088,260.0461999410567,43.18067453683616,5.552986589514596,-10.046397142244954,3.2895011628619764,0.9623304,3.4186325,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,3220.2637,4.8511,0.2929,190.4314,1.2919,0.7797,0.5628
"Gaia DR3 1360307715642367872",1360307715642367872,260.3914985910243,43.30741308547231,8.98171016923331,3.083646645667447,-11.389104486658663,1.601387,2.6750183,-43.831844,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3480.6477,4.7953,0.043,112.8701,0.8737,0.5667,0.3626
"Gaia DR3 1360312044969418880",1360312044969418880,260.3322273790396,43.399061377618985,17.73557715529501,-87.0068556432202,-23.660025890306592,1.3000939,2.1984425,-36.717926,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360312315551159936",1360312315551159936,260.31773093163395,43.41229771523033,16.799110648865053,22.16779040934407,15.212767714020153,1.0422243,4.565935,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360313243265942016",1360313243265942016,260.3333198084519,43.45411619785195,9.744936803680694,68.3906571799888,-0.2578729867882466,0.9522115,0.56793785,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360314037834241920",1360314037834241920,260.44668677950557,43.48087566566411,6.278811970487251,-15.614842376009749,0.5042885757216742,1.0591283,2.5991163,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3441.0308,4.9047,-0.2359,159.1309,0.7249,0.4726,0.2982
"Gaia DR3 1360327541211494272",1360327541211494272,260.4867486138812,43.608844936931,6.164937982676891,-11.462778522813972,6.767325745309279,1.0580274,3.046832,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3329.501,4.8447,0.1234,161.1372,1.2074,0.7516,0.5112
"Gaia DR3 1360369150858339456",1360369150858339456,258.67136947436455,42.67372351832713,5.741665403429937,-16.57911066965059,-1.7237578993143297,1.1091478,2.5161858,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3440.8855,4.7091,-0.3377,173.1518,0.6851,0.4476,0.2828
"Gaia DR3 1360369150858339712",1360369150858339712,258.67095806156794,42.67470443388283,5.759962145641921,-17.80027497860525,-1.6908954064356942,0.9869462,1.5039062,-24.754877,"VARIABLE",0,true,true,false,true,false,true,true,4478.424,4.6624,0.4433,174.8026,0.3237,0.2431,0.1276
"Gaia DR3 1360376675642140672",1360376675642140672,258.73866619988127,42.92707282763809,5.440792706895559,12.328043856131291,15.475498410346034,1.0176021,2.4979763,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3488.4775,4.8827,-0.3039,182.1864,0.6902,0.455,0.282
"Gaia DR3 1360381309905667840",1360381309905667840,259.13618601787164,43.04140745381742,7.802085846724477,-12.09053577296487,15.123318301959985,1.3189856,1.051693,-26.937183,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4989.5786,4.2579,-0.6316,128.0098,0.0516,0.0415,0.0223
"Gaia DR3 1360382031460313216",1360382031460313216,258.8720440132738,42.95236117254911,5.790703231823122,1.386204594565505,29.684806431616398,1.0595422,2.9827309,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360386502526223104",1360386502526223104,258.52835874025664,42.86560723550739,5.131903985701848,0.3444083051669917,48.166796769407796,1.0843984,2.4191017,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3498.5576,4.7821,-0.7201,193.1079,0.7018,0.4674,0.2819
"Gaia DR3 1360388559810570112",1360388559810570112,258.7324834587887,42.957408796404884,5.8102608216779235,0.9330164883458401,-37.129158498957985,1.032362,3.2475166,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3170.3013,5.0073,-0.1435,178.4791,1.0968,0.6677,0.4617
"Gaia DR3 1360401964409323136",1360401964409323136,259.0155558688803,43.2710674033244,6.036325276718296,0.7170806477816729,-16.726316638718693,0.9728212,2.3685446,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3575.475,4.9485,-0.5846,162.9373,0.7835,0.5262,0.3122
"Gaia DR3 1360409386112763648",1360409386112763648,259.2257092902206,43.200313453559396,5.550904729920922,18.185244602985232,-22.695463857891234,0.96214163,3.0238676,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,3376.8945,4.7788,0.1975,177.39,1.186,0.7411,0.5068
"Gaia DR3 1360414196475355136",1360414196475355136,259.60139414707214,43.32517654300718,5.089958676938402,-26.373123147723913,-11.890284909442384,1.2001432,1.2347984,-63.27214,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360424985431402624",1360424985431402624,259.3116975473288,43.41016806509847,5.611034494426899,17.670944024864543,-24.72333620544004,0.990532,2.9178581,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3196.8455,5.0304,-0.2606,174.6263,0.8413,0.5193,0.3534
"Gaia DR3 1360424985434843648",1360424985434843648,259.3142641109676,43.41267442133507,5.78483161888149,17.696275934262825,-24.640430747237865,0.8922672,0.7127552,-6.119896,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6005.86,4.3544,-0.3623,171.9851,0.0016,0.0013,7.0E-4
"Gaia DR3 1360428180889685248",1360428180889685248,259.35270721046686,43.46321692176955,6.376194385028289,21.40925998198974,-18.331502961492,1.0042399,2.4282045,0.36660096,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3522.362,4.653,-0.3555,152.5433,0.6078,0.404,0.2488
"Gaia DR3 1360428799365121408",1360428799365121408,259.3928067927082,43.50148880993352,6.632955821535211,-24.51478964113685,-32.46711348063394,1.1430694,1.8442268,12.327654,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3850.8745,4.6834,-0.5237,150.1214,0.3308,0.2358,0.1281
"Gaia DR3 1360432437196350720",1360432437196350720,259.66536364544453,43.54509174800915,11.974532076921815,54.88280423180837,-24.340364614055417,1.1626173,1.6612082,-19.578203,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4315.3447,4.5785,0.3892,83.4717,0.4462,0.3285,0.175
"Gaia DR3 1360435667012579712",1360435667012579712,259.4672604261992,43.57876916100877,5.318351470749813,-37.42934695565469,20.730533022941863,1.3936002,3.0741806,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360435671312795520",1360435671312795520,259.46697243135515,43.57861248168484,5.123313817729176,-38.09096208162213,19.560692965566545,1.0891758,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360440889693124096",1360440889693124096,258.5679798103055,43.16109657682057,11.748906969655286,-6.0648638120806915,36.71994305910296,2.270259,1.43608,-67.81161,"NOT_AVAILABLE",3,true,true,false,false,false,true,true,4532.763,4.5851,0.3678,84.9732,0.2114,0.1598,0.0836
"Gaia DR3 1360440893989831168",1360440893989831168,258.5694973248935,43.16099464908795,11.852697674654072,-4.384099271057252,38.41589992789153,0.87648076,1.9289913,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360441649907163776",1360441649907163776,258.7057036733479,43.19800469092357,8.80242634553433,25.65852292399487,-127.74008818252193,1.098683,2.5636349,-84.13537,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3476.0247,4.8734,-0.2008,113.8656,0.7679,0.5029,0.3148
"Gaia DR3 1360441649907164544",1360441649907164544,258.70079309886415,43.19599117177853,8.839048926958561,25.669317367143368,-127.31359469500583,1.106014,2.5074291,-57.060158,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3515.2878,4.8051,-0.2128,112.9386,0.7555,0.4983,0.3089
"Gaia DR3 1360441787346113664",1360441787346113664,258.7374629998697,43.18919601269732,7.332166118239562,-9.969457623609948,6.798641464501205,1.0737342,1.7267971,-45.447235,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4208.7593,4.6621,0.2504,136.1047,0.4447,0.3238,0.1746
"Gaia DR3 1360447765940585984",1360447765940585984,258.8182983262631,43.23131783436773,5.47109179904094,-17.493534834743542,-32.38920957688779,1.0578715,2.6876135,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3469.3313,4.7931,0.0642,184.7946,0.8255,0.5342,0.3446
"Gaia DR3 1360454427431584384",1360454427431584384,258.9573438606033,43.44162783448258,6.25280939625016,-9.364353793379465,36.93604302839026,1.1092031,3.201542,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,2916.2366,5.0826,-0.0823,168.4793,0.0986,0.057,0.0441
"Gaia DR3 1360454431729839360",1360454431729839360,258.95681656315594,43.44283824197377,6.651316027437024,-9.024301869835575,36.09702225698487,1.0813851,1.9432364,-42.576126,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3994.7932,4.673,0.0319,149.02,0.5984,0.4241,0.2345
"Gaia DR3 1360470615163605248",1360470615163605248,258.8094447642967,43.61386238850904,5.700988884987165,-1.3992537281945046,-44.31746484217139,2.3134782,2.0945587,12.68376,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360470615166646656",1360470615166646656,258.80920181206795,43.613730409388666,6.171404742876623,-0.013024130804529577,-46.83023267352188,2.0470614,2.0979023,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360477280955964160",1360477280955964160,259.3947527333992,43.619134579407806,6.941110414112093,-66.67966141140293,23.229786733305083,1.0564319,2.9344168,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3359.183,4.8259,0.0868,147.7844,1.0061,0.6339,0.4252
"Gaia DR3 1360480132811542656",1360480132811542656,259.1321704360686,43.63850391652828,5.170510280922531,-8.344230469850809,21.873065358742465,2.094425,1.3963232,,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
"Gaia DR3 1360480132814257920",1360480132814257920,259.13179552549184,43.63835430069804,5.203057607674611,-11.248489290397245,23.794278153857547,1.4316428,,-38.86489,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360486656864441088",1360486656864441088,259.6446620005089,43.82754250909509,5.07265139000369,-17.884968027797083,24.795968506415278,1.0866413,2.9544735,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360492605399288192",1360492605399288192,259.14185174741607,43.70271917181693,5.439569778877644,4.204736409917011,-58.11852583739371,0.9974027,2.181841,3.9635372,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3736.5613,4.7157,-0.2026,184.0847,0.6376,0.4376,0.2541
"Gaia DR3 1360497243963972736",1360497243963972736,259.0651147804616,43.779341165652085,8.340428787058508,39.89029608762459,-9.362180143683588,0.9447676,0.7829828,-6.0233064,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5790.112,4.3858,-0.0886,119.5606,0.0026,0.0022,0.0012
"Gaia DR3 1360498240397148160",1360498240397148160,259.1593947537559,43.88597438182396,5.6831726240730625,28.12957242762474,-57.74548921599231,6.001031,2.0259695,-13.971713,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1360498309115994240",1360498309115994240,259.21928496294726,43.820209013386766,5.826268863288817,-16.1210886481201,-12.335238822258901,0.9743334,2.3419294,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3484.9553,5.0297,-0.6453,168.7309,0.5021,0.3348,0.2021
"Gaia DR3 1360499541767251584",1360499541767251584,259.2442595778494,43.88734515501425,8.374035943790725,-177.52695269697384,-35.16203373519663,1.002305,2.872137,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3235.6824,5.0729,-0.4437,120.8138,0.6874,0.4309,0.2858
"Gaia DR3 1360500027102918400",1360500027102918400,259.27645927438095,43.931621065843984,7.376395132955458,-25.656086698015535,77.0008191612036,0.8803428,0.9280319,-25.298794,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5519.7183,4.4925,0.1792,135.2697,0.1082,0.0892,0.0472
"Gaia DR3 1360501397192232448",1360501397192232448,259.46378198163916,43.902786941811236,7.7756439954447165,-67.80185772136801,9.765778375810413,1.4405354,3.3848438,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,3113.316,4.9939,-0.0403,144.0178,1.4822,0.8815,0.6251
"Gaia DR3 1360509334296190336",1360509334296190336,259.8664372750767,43.43302226829699,5.809021889991261,40.574900555596166,-69.35599700223021,1.0097525,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1360509338587547520",1360509338587547520,259.8666437252579,43.43268663314946,6.027908297552545,40.10929096043701,-70.00414697389917,1.8270328,2.3399544,-32.72324,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360516863370026112",1360516863370026112,260.10737361035325,43.71383422619836,7.81173247622001,15.566578272361081,-4.031544353386682,1.0860344,1.9877453,-6.4166627,"VARIABLE",0,true,true,false,true,false,false,true,4866.623,4.708,-0.8272,126.6495,2.2348,1.6588,0.9063
"Gaia DR3 1360517894162186496",1360517894162186496,260.0470798316982,43.74630404945087,11.003382039900286,-83.28810664039315,-108.61918836845652,1.0657574,2.0180387,7.5940742,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,3882.0215,4.7329,-0.1427,91.0151,0.5878,0.4121,0.2312
"Gaia DR3 1360518375198500992",1360518375198500992,260.1645715995698,43.636500728091896,5.493650805430305,-11.439823763827837,2.6617950669259915,0.9921346,2.2719269,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3676.5637,4.7783,-0.1461,180.786,0.6486,0.4405,0.2604
"Gaia DR3 1360520402423152640",1360520402423152640,260.35234837317574,43.73715036429267,6.312196348356499,-49.8618954639223,-16.705931808559207,1.0126483,1.205864,-32.711727,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,4679.6743,4.5244,-0.3721,159.175,0.0061,0.0048,0.0025
"Gaia DR3 1360523460439876864",1360523460439876864,260.2642281441248,43.81423892993675,15.32136582384022,-89.93996289318916,-60.27013048094686,1.0416169,3.0374374,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1360527446169462144",1360527446169462144,259.894926522034,43.677637110321925,6.413150332476061,-13.915935514465762,22.585801475498638,1.0696625,3.083023,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3239.0752,4.9143,0.0671,158.8769,1.0186,0.6276,0.4326
"Gaia DR3 1360529610832980608",1360529610832980608,260.0205931081689,43.796907073939856,5.269651912229135,5.838973586796087,16.057386860081902,1.0409658,2.371787,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3561.0127,4.6422,-0.4942,189.6481,0.6603,0.4427,0.2672
"Gaia DR3 1361217252276803072",1361217252276803072,258.6475726572781,43.664293098502455,6.134522584419514,-6.403542759592602,-15.993401706383803,1.0828946,1.4341421,,"VARIABLE",0,true,true,false,true,false,true,true,4548.9688,4.6599,0.4927,163.1713,0.2585,0.1957,0.1023
"Gaia DR3 1361224605260853632",1361224605260853632,258.9488986792247,43.78045261383022,5.497747944881682,3.6283496376940985,-86.89534747638089,1.0007143,1.9847202,-50.427376,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3846.6064,4.8129,-0.472,181.352,0.52,0.3654,0.2043
"Gaia DR3 1361227624621975936",1361227624621975936,258.6807208399107,43.807076763958214,5.7007000205096885,10.019473113824825,-44.57749412976336,1.0147116,3.123785,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3063.6755,5.0457,-0.1347,180.3698,0.9788,0.5807,0.4189
"Gaia DR3 1361227044802240768",1361227044802240768,258.78989615086266,43.81406386658804,5.513890059632797,-22.508492964948914,-0.174924709470911,1.114829,2.6875658,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3410.637,4.8517,-0.2575,183.4661,0.8188,0.5293,0.3377
"Gaia DR3 1361232611080391424",1361232611080391424,258.4186637436281,43.757081642351146,9.38798677592754,-20.742608657633983,-0.6603614591903681,13.828523,2.277955,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,3523.3445,4.1894,-0.3744,103.8976,0.4241,0.285,0.1706
"Gaia DR3 1361236012693978368",1361236012693978368,258.42699277953943,43.817374422753204,6.352621242765348,-21.0777617424216,37.13326389266602,0.96778154,3.2687511,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3075.4883,5.0685,-0.2302,166.0491,0.9093,0.5421,0.388
"Gaia DR3 1361236631169270656",1361236631169270656,258.39506809724037,43.818784247579224,5.702633647956409,-9.326302335139648,2.355313609351569,10.391846,2.180046,-28.570217,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3764.9683,4.5811,2.0E-4,161.2785,0.6104,0.4192,0.2438
"Gaia DR3 1361242227510954624",1361242227510954624,258.9219904541492,43.98794312860878,11.136072415728888,-17.26659503118818,25.583902140966966,0.996121,3.7138577,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1361243434397674880",1361243434397674880,258.9406972205702,44.05939059854627,6.34930968134956,29.07565682975109,-0.28737880954925,1.0842324,2.3260078,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3612.9429,4.8763,-0.4207,156.092,0.7134,0.4813,0.2857
"Gaia DR3 1361248553998674688",1361248553998674688,259.04315878181274,43.86312553553911,18.56514833144737,-77.5177486103358,31.681023651032817,1.18478,2.4930744,-54.498184,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1361250130251506688",1361250130251506688,259.1253990637382,43.96362414427781,7.475509773605479,-19.367369348697938,36.28088718971231,1.0034671,3.4871979,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,2905.093,5.0543,0.0155,158.0004,0.6342,0.3619,0.2816
"Gaia DR3 1361252436648971136",1361252436648971136,259.29673955338006,44.06051669928806,5.729411540988863,-36.83539096953422,-8.131052875123897,0.9581335,1.0315762,-33.660004,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5129.859,4.5488,-0.081,173.8491,0.0608,0.049,0.026
"Gaia DR3 1361252436648971776",1361252436648971776,259.2925531626674,44.06060235015569,5.745882425086666,-37.01128564713261,-8.41028102714645,1.0558989,1.2367535,-34.994392,"VARIABLE",0,true,true,false,true,false,true,true,4717.1772,4.5856,0.0454,173.4451,0.0958,0.0747,0.0392
"Gaia DR3 1361254562656781824",1361254562656781824,259.0790190002677,44.054371975615254,6.27659536995715,-6.1144796371522325,18.24123757001377,1.664604,1.2680645,-26.144562,"VARIABLE",0,true,true,false,true,false,true,true,4687.022,4.5321,-0.0508,159.7378,0.1188,0.0924,0.0487
"Gaia DR3 1361254566952766336",1361254566952766336,259.0785208779478,44.05422767471442,6.038375333764754,-3.5352906728235056,17.992010319448646,1.3640603,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1361253153907742848",1361253153907742848,259.1148340868298,43.97833883372718,8.456495764101945,-61.25474894809449,176.27584513682308,1.2832409,3.470955,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3127.2732,4.9613,0.0785,129.6869,1.3788,0.8221,0.5879
"Gaia DR3 1361257040854385024",1361257040854385024,259.3609482609075,44.03307466038263,7.229653300126715,6.935535222572984,-40.47009564653625,0.87842584,2.8201942,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3355.6516,4.9006,-0.0797,139.1765,0.949,0.603,0.3942
"Gaia DR3 1361266077465128064",1361266077465128064,258.99874358154096,44.055711419539236,9.786435712305714,-28.023434410082587,-122.31355814451803,1.0582442,2.1436434,-34.290688,"VARIABLE",0,true,true,false,true,false,true,true,3630.1084,4.6617,-0.4554,102.3361,0.5123,0.3519,0.2006
